2025-02-27 11:52:27,728 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='cat', adv_type='pgd', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusioncat_advpgd_20250227115227', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:52:42,490 - root - INFO - Epoch 0/10 step 10/610 eta 00:13:41: loss 1.062, train {'accuracy': 0.6875, 'f1': 0.6557971014492754, 'precision': 0.6826923076923077, 'recall': 0.6875}
2025-02-27 11:52:55,076 - root - INFO - Epoch 0/10 step 20/610 eta 00:12:55: loss 0.931, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:53:07,723 - root - INFO - Epoch 0/10 step 30/610 eta 00:12:32: loss 0.800, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:53:20,419 - root - INFO - Epoch 0/10 step 40/610 eta 00:12:15: loss 0.571, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:53:33,024 - root - INFO - Epoch 0/10 step 50/610 eta 00:11:59: loss 1.102, train {'accuracy': 0.5625, 'f1': 0.40499999999999997, 'precision': 0.31640625, 'recall': 0.5625}
2025-02-27 11:53:45,619 - root - INFO - Epoch 0/10 step 60/610 eta 00:11:44: loss 0.615, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:54:49,455 - root - INFO - Epoch 0 step 61: loss 0.632, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:55:01,575 - root - INFO - Epoch 1/10 step 70/610 eta 00:19:38: loss 0.818, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:55:14,377 - root - INFO - Epoch 1/10 step 80/610 eta 00:18:16: loss 0.758, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:55:27,006 - root - INFO - Epoch 1/10 step 90/610 eta 00:17:09: loss 0.495, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:55:39,862 - root - INFO - Epoch 1/10 step 100/610 eta 00:16:14: loss 0.429, train {'accuracy': 0.875, 'f1': 0.8377976190476191, 'precision': 0.8291666666666667, 'recall': 0.875}
2025-02-27 11:55:52,431 - root - INFO - Epoch 1/10 step 110/610 eta 00:15:25: loss 0.451, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:56:05,003 - root - INFO - Epoch 1/10 step 120/610 eta 00:14:42: loss 0.448, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:57:09,280 - root - INFO - Epoch 1 step 122: loss 0.398, val {'accuracy': 0.82, 'f1': 0.752, 'precision': 0.7811, 'recall': 0.82}
2025-02-27 11:57:20,049 - root - INFO - Epoch 2/10 step 130/610 eta 00:17:55: loss 0.196, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:57:32,609 - root - INFO - Epoch 2/10 step 140/610 eta 00:16:59: loss 0.325, train {'accuracy': 0.9375, 'f1': 0.9073275862068966, 'precision': 0.8791666666666667, 'recall': 0.9375}
